,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,S.No,States,Number of Jobcards,Registered Workers,Number of Active Job Cards *,Active Workers *,,,,,,,,,
1,Applied for,Issued,SCs,STs,Others,Total Workers,Women,SCs,STs,Others,Total Workers,Women,,,
2,1,2,3,4,5,6,7,8,9,10,11,12,13.0,14.0,15.0
3,1,ANDHRA PRADESH,86.16,86.16,43.07,15.13,116.39,174.58,85.01,48.27,20.55,8.36,53.05,81.96,42.87
4,2,ARUNACHAL PRADESH,2.18,2.15,0,4.21,0.38,4.6,2.31,2.08,0,2.15,0.18,2.33,0.87
5,3,ASSAM,46.14,42.84,4.34,13.62,60.47,78.43,30.1,25.84,2.07,6.98,30.86,39.92,15.59
6,4,BIHAR,156.48,142.77,58.76,4.18,163.23,226.17,83.93,39.48,11,0.85,36.24,48.1,21.45
7,5,CHHATTISGARH,37.73,35.98,9.3,29.15,46.86,85.31,40.9,30.16,6.21,20.56,31.66,58.42,28.52
8,6,GOA,0.37,0.33,0.01,0.16,0.31,0.48,0.3,0.11,0,0.04,0.07,0.12,0.09
9,7,GUJARAT,36.19,34.82,5.93,31.28,45.95,83.15,38.57,13.54,1.43,8.72,12.23,22.38,9.82
10,8,HARYANA,8.86,8.69,7.42,0,8.76,16.18,6.86,4.61,3.42,0,3.52,6.94,3.12
11,9,HIMACHAL PRADESH,12.22,12.01,6.22,1.48,15.01,22.7,11.09,7.48,2.9,0.71,6.86,10.47,5.81
12,10,JAMMU AND KASHMIR,12.37,11.57,1.2,3.01,17.42,21.63,6.67,9.49,0.77,2.14,11.95,14.86,4.44
13,11,JHARKHAND,42.67,39.49,8.94,29.32,39.76,78.02,32.52,22.11,3.13,9.4,15.12,27.65,10.61
14,12,KARNATAKA,55.15,54.37,22.7,11.52,101.63,135.84,64.28,29.4,10.89,5.85,47.98,64.72,30.59
15,13,KERALA,33.41,33.15,6.5,1.64,43.49,51.63,33.14,19.32,3.43,0.86,18.38,22.68,18.3
16,14,MADHYA PRADESH,65.44,62.88,26.36,51.61,76.27,154.25,68.72,47.04,15.02,31.02,42.87,88.92,38.04
17,15,MAHARASHTRA,88.81,82.92,20.56,32.34,158.37,211.27,97.95,27.17,4.86,9.76,37.04,51.67,22.4
18,16,MANIPUR,5.46,5.41,0.26,4.83,4.99,10.08,5.29,5.22,0.17,2.55,2.99,5.71,2.5
19,17,MEGHALAYA,5.35,5.25,0.08,10.15,0.66,10.89,5.75,4.88,0.05,6.81,0.46,7.32,3.78
20,18,MIZORAM,1.91,1.91,0,3.4,0.02,3.42,1.62,1.89,0,2.5,0.02,2.52,1.16
21,19,NAGALAND,4.32,4.31,0.07,6.85,0.29,7.2,3.34,4.28,0.05,5.59,0.23,5.86,2.5
22,20,ODISHA,63.25,62.38,29.61,44,88.87,162.48,75.6,33.51,9.58,18.18,27.05,54.81,22.88
23,21,PUNJAB,15.19,14.3,17.78,0.01,6.49,24.27,10.94,8.62,8.42,0,2.64,11.06,6.03
24,22,RAJASTHAN,98.58,95.62,42.41,44.22,142.36,228.99,110.54,63.74,18.99,22.94,56.39,98.31,56.63
25,23,SIKKIM,0.8,0.8,0.06,0.49,0.76,1.31,0.64,0.74,0.04,0.35,0.55,0.95,0.45
26,24,TAMIL NADU,80.03,78.54,34.13,1.79,80.56,116.48,79.03,69.55,24.95,1.2,60.9,87.05,67.31
27,25,TELANGANA,52.81,52.81,25.63,18.88,69.59,114.1,56.85,31.82,13.41,10.5,34.73,58.64,32.19
28,26,TRIPURA,6.08,6.06,1.92,4.11,4.42,10.45,4.94,5.97,1.79,3.97,4.11,9.87,4.71
29,27,UTTAR PRADESH,159.26,150.95,77.1,3.09,147.33,227.52,64.86,81.46,35.2,1.12,64.61,100.92,34.1
30,28,UTTARAKHAND,10.67,10.35,3.43,0.71,13.15,17.29,8.43,7.32,1.79,0.4,7.71,9.91,5.3
31,29,WEST BENGAL,118.65,115.06,72.94,22,172.26,267.2,112.17,85.73,43.43,12.16,85.98,141.56,61.68
32,30,ANDAMAN AND NICOBAR,0.35,0.35,0,0.06,0.48,0.54,0.24,0.19,0,0.02,0.22,0.24,0.12
33,31,DADRA & NAGAR HAVELI,0.14,0.04,0,0.25,0.01,0.26,0.15,0,0,0,0.0,0.0,0.0
34,32,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
35,33,LAKSHADWEEP,0.08,0.08,0,0.16,0,0.16,0.07,0.01,0,0.01,0.0,0.01,0.0
36,34,PUDUCHERRY,0.66,0.63,0.39,0,1.02,1.4,0.79,0.47,0.17,0,0.37,0.54,0.45
37,,Total,1307.77,1254.98,527.12,393.65,1627.56,2548.28,1143.6,731.5,243.72,195.7,696.97,1136.42,554.31
